=X=X=X=X=X=X=X=X=X=X= FICHERO CSV =X=X=X=X=X=X=X=X=X=

 ============ LISTA EVENTOS GRATIS ===========

 Total: 768

(11951201) Titulo: 20 a tocar, Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE CERECINOS
(11921888) Titulo: Arte y vida, Precio: 0, Gratis: true, Direccion: CP: 28026, AVENIDA RAFAELA YBARRA
(11768845) Titulo: Artrics - Laboratorio de Creaci�n, Precio: 0, Gratis: true, Direccion: CP: Sin datos,  
(11934004) Titulo: Asamblea PIPO, Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE AVENA
(11948235) Titulo: Asumir el fracaso y convertirlo en risa, soltar el freno, Precio: 0, Gratis: true, Direccion: CP: 28049, Avenida Santuario de Valverde
(11890189) Titulo: Aula de Salud Bodyfulness y Mindfulness, Precio: 0, Gratis: true, Direccion: CP: 28019, CALLE ISAAC ALBENIZ
(11921873) Titulo: Ausencias, Precio: 0, Gratis: true, Direccion: CP: 28026, AVENIDA RAFAELA YBARRA
(11932246) Titulo: Aves en familia, Precio: 0, Gratis: true, Direccion: CP: 28049, AVENIDA SANTUARIO DE VALVERDE
(11946208) Titulo: Baile de Coplas, Precio: 0, Gratis: true, Direccion: CP: 28023, Ntilde O
(10633173) Titulo: Baile de Mayores en Centros Culturales Distrito Latina, Precio: 0, Gratis: true, Direccion: CP: 28024, CALLE FUENTE DEL TIRO
(10634056) Titulo: Baile de Mayores en Centros Culturales Distrito Latina, Precio: 0, Gratis: true, Direccion: CP: 28011, CALLE EL GRECO
(11951875) Titulo: Ballet Ara de Madrid, Precio: 0, Gratis: true, Direccion: CP: 28047, CALLE CASTROSERNA
(11831855) Titulo: Baloncesto, Precio: 0, Gratis: true, Direccion: CP: Sin datos,  
(11951189) Titulo: Banda Escuela de M�sica Maestro Barbieri, Precio: 0, Gratis: true, Direccion: CP: Sin datos,  
(11964409) Titulo: Banda Lavanda, Precio: 0, Gratis: true, Direccion: CP: 28032, BULEVAR INDALECIO PRIETO
(11896733) Titulo: Ben�n, la antigua Dahomey y la ruta de esclavos, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERN�N N��EZ
(11952563) Titulo: Bibliodebate: 'Eutanasia como derecho', Precio: 0, Gratis: true, Direccion: CP: 28024, CALLE GRANJA DE TORREHERMOSA
(11887286) Titulo: Biblioteca: una habitaci�n propia, Precio: 0, Gratis: true, Direccion: CP: 28034, CALLE MANRESA
(11960229) Titulo: Bicicletada Intercentros 2023, Precio: 0, Gratis: true, Direccion: CP: 28039, PARQUE DEHESA DE LA VILLA
(11907309) Titulo: Blanca Paloma (San Blas - Canillejas), Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(11961228) Titulo: Blas de Lezo y la Guerra del Asiento, Precio: 0, Gratis: true, Direccion: CP: 28001, CALLE GOYA
(11913903) Titulo: Bondad innata, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERN�N N��EZ
(11957930) Titulo: Bravo Nino, por siempre libre, Precio: 0, Gratis: true, Direccion: CP: 28043, CALLE SAN NEMESIO
(11946620) Titulo: Brigitte., Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO COLOMBIA
(11934570) Titulo: Caf� y conversaci�n sobre juegos de azar., Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE AVENA
(11956631) Titulo: Calle abierta infantil, Precio: 0, Gratis: true, Direccion: CP: 28053, CALLE PE�A GORBEA
(11940874) Titulo: C�mara en Mano/Realidades. Fotograf�a., Precio: 0, Gratis: true, Direccion: CP: 28024, CARRETERA BOADILLA DEL MONTE
(11693997) Titulo: Camerino, Precio: Entrada libre, Gratis: true, Direccion: CP: 28045, PASEO CHOPERA
(11951881) Titulo: Caminos que versan danza, Precio: 0, Gratis: true, Direccion: CP: 28011, CALLE MARIA DEL CARMEN
(11949115) Titulo: Campamento Urbano de Semana Santa 2023, Precio: 0, Gratis: true, Direccion: CP: 28021, CALLE JUAN JOSE MARTINEZ SECO
(11961077) Titulo: Canci�n espa�ola: `Tributo a Roc�o Jurado�, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11964763) Titulo: Canciones para educar en valores, Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(11957546) Titulo: Canciones para el futuro, Precio: 0, Gratis: true, Direccion: CP: 28022, CALLE FEBRERO
(11965669) Titulo: Cantando bajo la lluvia, Precio: 0, Gratis: true, Direccion: CP: 28039, CALLE ALMANSA
(11827088) Titulo: Cantando y contando a Lecuona, Precio: 0, Gratis: true, Direccion: CP: 28035, GLORIETA PRADERA DE VAQUERIZAS
(11906576) Titulo: Caos en la taberna (Puente de Vallecas), Precio: 0, Gratis: true, Direccion: CP: 28053, AVENIDA DE LAS GLORIETAS
(11957569) Titulo: Carlos Adriano, Precio: 0, Gratis: true, Direccion: CP: 28022, CALLE FEBRERO
(11945835) Titulo: Carmen X�a - Vicalvaro, Precio: 0, Gratis: true, Direccion: CP: 28032, PASEO POLIDEPORTIVO
(11937089) Titulo: Casi protagonista, Precio: 0, Gratis: true, Direccion: CP: 28047, CALLE CAMARENA
(11900578) Titulo: Celebrando a Shostakovich. Cuarteto Bauhaus, Precio: 0, Gratis: true, Direccion: CP: Sin datos,  
(11938342) Titulo: Celeste, Precio: 0, Gratis: true, Direccion: CP: 28053, AVENIDA DE LAS GLORIETAS
(11940867) Titulo: Centro Musical 'Grappelli'., Precio: 0, Gratis: true, Direccion: CP: 28024, CARRETERA BOADILLA DEL MONTE
(11953573) Titulo: Cerdita, Precio: 0, Gratis: true, Direccion: CP: 28022, Ntilde A
(11949088) Titulo: Certamen Coreogr�fico Distrito Latina, Precio: 0, Gratis: true, Direccion: CP: 28044, AVENIDA LAS AGUILAS
(11934704) Titulo: Cesi�n de espacios, Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE AVENA
(11961864) Titulo: Charla del CMS - Villaverde: `Antes de Morir Quiero...�, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11956779) Titulo: Chup, chup, Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(11961738) Titulo: Ciclo de Cine Cl�sico Espa�ol: `El Mundo Sigue�, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11961768) Titulo: Ciclo de Cine Cl�sico Espa�ol: `El Viaje a Ninguna Parte�, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11961644) Titulo: Ciclo de Cine Cl�sico Espa�ol: `Historias de la Radio�, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11802180) Titulo: Ciclo 'El traductor, primer lector', Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERN�N N��EZ
(11802179) Titulo: Ciclo 'El traductor, primer lector', Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERN�N N��EZ
(11851662) Titulo: Ciencia en Casa de Fieras, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERN�N N��EZ
(11938574) Titulo: Cinco Lobitos, Precio: 0, Gratis: true, Direccion: CP: 28038, CALLE RISCO DE PELOCHE
(11944869) Titulo: Cinco lobitos, Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE HERMANOS GARCIA NOBLEJAS
(11934477) Titulo: Cine Infantil en la Biblioteca Mar�a Lej�rraga: Cig�e�as, Precio: 0, Gratis: true, Direccion: CP: 28050, CALLE PRINCESA DE EBOLI
(11962268) Titulo: Cine Infantil en la Biblioteca Mar�a Lej�rraga: R�o, Precio: 0, Gratis: true, Direccion: CP: 28050, CALLE PRINCESA DE EBOLI
(11965117) Titulo: Cine infantil: 'Astro Boy', Precio: 0, Gratis: true, Direccion: CP: 28017, CALLE NUESTRA SE�ORA DEL VILLAR
(11932656) Titulo: Cinef�rum en la Biblioteca Benito P�rez Gald�s: 'Harriet: en busca de la libertad', Precio: 0, Gratis: true, Direccion: CP: 28015, CALLE CONDE DUQUE
(11927233) Titulo: Cinef�rum en la Biblioteca La Elipa: 'West Side Story', Precio: 0, Gratis: true, Direccion: CP: 28017, CALLE NUESTRA SE�ORA DEL VILLAR
(11929060) Titulo: Cine: `El Buen Patr�n�, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11961448) Titulo: Cine: `Quien a Hierro Mata�, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11947240) Titulo: Cine: `Sufragistas�, Precio: 0, Gratis: true, Direccion: CP: 28021, AVENIDA LOS ROSALES
(11938924) Titulo: Cine: 'Anacleto: Agente Secreto'., Precio: 0, Gratis: true, Direccion: CP: 28039, CALLE ALMANSA
(11939921) Titulo: Circo Infantil: `M�ximo�, Precio: 0, Gratis: true, Direccion: CP: 28021, CALLE DOCTOR MARTIN AREVALO
(11941856) Titulo: Circo: II Ciclo de Circo Contempor�neo: Midnight Company - 'US'., Precio: 0, Gratis: true, Direccion: CP: 28029, PLAZA DONOSO
(11945032) Titulo: Clase abierta Max y M�a, Precio: 0, Gratis: true, Direccion: CP: 28029, AVENIDA MONFORTE DE LEMOS
(11896784) Titulo: Clausura, entrega de premios y representaci�n de la obra  ganadora del Certamen, Precio: 0, Gratis: true, Direccion: CP: 28043, CALLE CARRIL DEL CONDE
(11923714) Titulo: Clownti, Precio: 0, Gratis: true, Direccion: CP: 28009, AVENIDA M�XICO
(11761948) Titulo: Club de Ajedrez, Precio: 0, Gratis: true, Direccion: CP: 28041, PLAZA PUEBLO
(11781885) Titulo: Club de lectura f�cil para mayores de 65 a�os, Precio: 0, Gratis: true, Direccion: CP: Sin datos,  
(11897795) Titulo: Club de lectura infantil BPM Mario Vargas Llosa, Precio: 0, Gratis: true, Direccion: CP: 28004, CALLE BARCELO
(11885850) Titulo: Club de lectura La Sal. Espacio de Igualdad Elena Arnedo Soriano, Precio: 0, Gratis: true, Direccion: CP: 28007, CALLE ARREGUI Y ARUEJ
(11961836) Titulo: Club de lectura por la tarde, Precio: 0, Gratis: true, Direccion: CP: Sin datos,  
(11766997) Titulo: Club de lectura tem�tica 'Amores Contados 2', Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11766777) Titulo: Club de lectura tem�tica 'Las Mejores Historias Jam�s Contadas' 4� Serie, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11889791) Titulo: Club de lectura 'Soledad no deseada', Precio: 0, Gratis: true, Direccion: CP: 28005, CALLE SAN JUSTO
(11889789) Titulo: Club de lectura 'Soledad no deseada', Precio: 0, Gratis: true, Direccion: CP: 28005, CALLE SAN JUSTO
(11889790) Titulo: Club de lectura 'Soledad no deseada', Precio: 0, Gratis: true, Direccion: CP: 28005, CALLE SAN JUSTO
(11767096) Titulo: Club de Lectura-Taller Iconograf�a occidental: santos, demonios y �ngeles 2� serie, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11952164) Titulo: Club de lectura: Bucarest en cuatro libros, Precio: 0, Gratis: true, Direccion: CP: 28005, CALLE SAN JUSTO
(11891830) Titulo: Club de novela rom�ntica., Precio: 0, Gratis: true, Direccion: CP: 28029, AVENIDA MONFORTE DE LEMOS
(11965023) Titulo: Como ni�os en fiesta de fin de curso, Precio: 0, Gratis: true, Direccion: CP: 28032, CALLE VILLARDONDIEGO
(11951909) Titulo: Compr�ndeme. Un an�lisis m�ltiple  de c�mics testimoniales feministas, Precio: Entrada libre hasta completar aforo, Gratis: true, Direccion: CP: 28014, PLAZA CIBELES
(11939892) Titulo: Con aroma de Mujer, Precio: 0, Gratis: true, Direccion: CP: 28044, AVENIDA LAS AGUILAS
(11612483) Titulo: Concierto a cargo de la Big Band de la Facultad de M�sica y Artes Esc�nicas de la Universidad Alfonso X el Sabio (UAX), Precio: 0, Gratis: true, Direccion: CP: 28002, CALLE MANTUANO
(11944936) Titulo: Concierto a cargo de los alumnos de la Escuela Municipal de M�sica Mar�a Rodrigo, Precio: 0, Gratis: true, Direccion: CP: 28002, CALLE MANTUANO
(11945044) Titulo: Concierto Agrupaci�n de guitarra espa�ola dirigido por Juan �ngel Gim�nez Cabo, Precio: 0, Gratis: true, Direccion: CP: 28029, AVENIDA MONFORTE DE LEMOS
(11964752) Titulo: Concierto caprichoso, Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(10959156) Titulo: Concierto de c�mara a cargo de las agrupaciones de la Facultad de M�sica y Artes Esc�nicas de la Universidad Alfonso X el Sabio (UAX), Precio: 0, Gratis: true, Direccion: CP: 28002, CALLE MANTUANO
(11952298) Titulo: Concierto de la Banda Sinf�nica Municipal, Precio: 0, Gratis: true, Direccion: CP: 28013, CALLE BAILEN
(11897452) Titulo: Concierto de la Banda Sinf�nica Municipal. Tradici�n, Precio: 0, Gratis: true, Direccion: CP: 28012, CALLE ATOCHA
(11897473) Titulo: Concierto de la Banda Sinf�nica Municipal. Versus, Precio: 0, Gratis: true, Direccion: CP: 28012, CALLE ATOCHA
(11945049) Titulo: Concierto de San Juan escuela de m�sica Soto Mesa, Precio: 0, Gratis: true, Direccion: CP: 28029, AVENIDA MONFORTE DE LEMOS
(11958138) Titulo: Concierto en fresa mayor, Precio: 0, Gratis: true, Direccion: CP: Sin datos,  
(11940762) Titulo: Concierto extraordinario '30 aniversario' del Conservatorio Teresa Berganza, Precio: 0, Gratis: true, Direccion: CP: 28044, AVENIDA LAS AGUILAS
(11955363) Titulo: Concierto flauta travesera, Precio: 0, Gratis: true, Direccion: CP: 28053, AVENIDA DE LAS GLORIETAS
(11965585) Titulo: Concierto sinf�nico: 'Requiem Op. 48, de Faur�'., Precio: 0, Gratis: true, Direccion: CP: 28039, CALLE AZUCENAS
(11955900) Titulo: Concierto 'Veinte poemas prehist�ricos y una canci�n desesperada' por Mario Otero y Ana Santos, Precio: 0, Gratis: true, Direccion: CP: 28050, CALLE PRINCESA DE EBOLI
(11327553) Titulo: Concierto: Ciclo j�venes talentos del conservatorio profesional de m�sica Teresa Berganza, Precio: 0, Gratis: true, Direccion: CP: 28002, CALLE MANTUANO
(11944194) Titulo: Concierto: Somos compositoras, Precio: 0, Gratis: true, Direccion: CP: 28029, PLAZA DONOSO
(11940036) Titulo: Concierto: 'M�sica de Superh�roes', Precio: 0, Gratis: true, Direccion: CP: 28020, CALLE BRAVO MURILLO
(11965631) Titulo: Concurso 'Fotograf�as lectoras', Precio: 0, Gratis: true, Direccion: CP: 28017, CALLE ASCAO
(11964736) Titulo: Conectando en verde: ruta en bici desde la Dehesa al Centro de Interpretaci�n de la Naturaleza de Montecarmelo, Precio: 0, Gratis: true, Direccion: CP: 28039, PARQUE DEHESA DE LA VILLA
(10590577) Titulo: Conferencia Historia de Madrid: Justicia Civil e Inquisici�n en el Madrid de los Austrias, Precio: 0, Gratis: true, Direccion: CP: 28002, CALLE MANTUANO
(11232151) Titulo: Conferencia musical: El cuarteto de cuerda: una forma musical, Precio: 0, Gratis: true, Direccion: CP: 28002, CALLE MANTUANO
(11957365) Titulo: Conferencia sobre motivaci�n, Precio: 0, Gratis: true, Direccion: CP: 28022, CALLE BOLTA�A
(11965644) Titulo: Conferencia 'Parque del Campo del Moro', Precio: 0, Gratis: true, Direccion: CP: 28039, CALLE ALMANSA
(11961789) Titulo: Conferencias de Arte e Historia, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11947088) Titulo: Conferencias. Retiro, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11947071) Titulo: Conferencias. Retiro, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11947057) Titulo: Conferencias. Retiro, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11947086) Titulo: Conferencias. Retiro, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11947065) Titulo: Conferencias. Retiro, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11947072) Titulo: Conferencias. Retiro, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11947059) Titulo: Conferencias. Retiro, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11947092) Titulo: Conferencias. Retiro, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11964298) Titulo: Conferencia-concierto La m�sica sacra desde el gregoriano hasta Jesucristo Superstar?, Precio: 0, Gratis: true, Direccion: CP: 28029, PLAZA DONOSO
(11876301) Titulo: Conferencia: 'Bienvenidos al (b�rbaro) norte: la visi�n de los tracios en el mundo griego', Precio: 0, Gratis: true, Direccion: CP: 28005, PLAZA SAN ANDRES
(11875710) Titulo: Conferencia: 'La Historia Augusta: un enigma entre la historia y la literatura', Precio: 0, Gratis: true, Direccion: CP: 28005, PLAZA SAN ANDRES
(11878254) Titulo: Conferencia: 'La liberaci�n de Andr�meda en el arte', Precio: 0, Gratis: true, Direccion: CP: 28005, PLAZA SAN ANDRES
(11878525) Titulo: Conferencia: 'Malvadas y desgraciadas mujeres en T�cito', Precio: 0, Gratis: true, Direccion: CP: 28005, PLAZA SAN ANDRES
(11878269) Titulo: Conferencia: 'M�sica, letras y gimnasia en la Grecia antigua: el nacimiento de la escuela en Occidente', Precio: 0, Gratis: true, Direccion: CP: 28005, PLAZA SAN ANDRES
(11878805) Titulo: Conferencia: 'Pandora y el origen de hombres y mujeres', Precio: 0, Gratis: true, Direccion: CP: 28005, PLAZA SAN ANDRES
(11939934) Titulo: Conferencia: `Conectando desde el Autocuidado�, Precio: 0, Gratis: true, Direccion: CP: 28041, CALLE LOS BOHEMIOS
(11940485) Titulo: Conferencia: 'Parque de La Quinta del Berro'. A cargo de Bel�n Naharro., Precio: 0, Gratis: true, Direccion: CP: 28039, CALLE ALMANSA
(11698141) Titulo: Confluencias: intersecciones entre palabra e imagen, Precio: 0, Gratis: true, Direccion: CP: 28015, CALLE CONDE DUQUE
(11948231) Titulo: Contar cuando hay varios personajes, energ�a, el ritmo, la intenci�n, Precio: 0, Gratis: true, Direccion: CP: 28049, Avenida Santuario de Valverde
(11954938) Titulo: Conversaciones viajeras, Precio: 0, Gratis: true, Direccion: CP: 28012, CALLE OLIVAR
(11931846) Titulo: Coro Aires de Madrid, Precio: 0, Gratis: true, Direccion: CP: 28022, Ntilde A
(11943096) Titulo: Coro Juvenil y Orquesta de Cuerda de la Escuela Municipal de M�sica Almudena Cano, Precio: 0, Gratis: true, Direccion: CP: 28045, PASEO CHOPERA
(11944266) Titulo: Coro y Combo de M�sica Moderna, Precio: 0, Gratis: true, Direccion: CP: 28045, CALLE CANARIAS
(11896731) Titulo: Costa de Marfil y Ghana: viaje por �frica Centro-Occidental, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERN�N N��EZ
(11934695) Titulo: Crea tu atrapasue�os, Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE AVENA
(11934696) Titulo: Crea tu propio juego de mesa, Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE AVENA
(11964840) Titulo: Cronos y la marciana Macarena, Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(11919120) Titulo: Cruce de miradas, Precio: 0, Gratis: true, Direccion: CP: 28043, CALLE CARRIL DEL CONDE
(11965710) Titulo: Cuando calle el silencio, Precio: 0, Gratis: true, Direccion: CP: 28022, CALLE FEBRERO
(11957610) Titulo: Cuarteto de cuerdas Omnia, Precio: 0, Gratis: true, Direccion: CP: 28031, CALLE ZAZUAR
(11958035) Titulo: Cuarto Sal�n literario Pilar de Valderrama. Vida, amor y poes�a, Precio: 0, Gratis: true, Direccion: CP: 28009, PASEO FERN�N N��EZ
(11965721) Titulo: Cuentacuentos para adultos: 'Cuentos de amor y mal amor'. A cargo de Nelson Calder�n., Precio: 0, Gratis: true, Direccion: CP: 28039, CALLE ALMANSA
(10585492) Titulo: Cuentacuentos: Est� bien ser diferente, Precio: 0, Gratis: true, Direccion: CP: 28002, CALLE MANTUANO
(11910490) Titulo: Cuentos con tigo, Precio: 0, Gratis: true, Direccion: CP: 28031, CALLE MANUEL VELEZ
(11966078) Titulo: Cuentos de inventos, encuentros y cerezos, Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE DOCTOR TOLOSA LATOUR
(11944860) Titulo: Cuentos peque�os como una hormiga, Precio: 0, Gratis: true, Direccion: CP: 28022, CALLE MARIA SEVILLA DIAGO
(11598731) Titulo: Curso de formaci�n a familias de Primaria, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11919008) Titulo: Curso de formaci�n a familias de Secundaria, Precio: 0, Gratis: true, Direccion: CP: 28007, PLAZA DAOIZ Y VELARDE
(11941694) Titulo: Cursos y talleres, Precio: 0, Gratis: true, Direccion: CP: 28001, CALLE NU�EZ DE BALBOA
(11965210) Titulo: Dale tu vuelo. Viaje de ida y vuelta, Precio: 0, Gratis: true, Direccion: CP: 28022, AVENIDA S�PTIMA
(11951845) Titulo: Dancing Schubert, Precio: 0, Gratis: true, Direccion: CP: 28044, AVENIDA LAS AGUILAS
(11934703) Titulo: Danza, Precio: 0, Gratis: true, Direccion: CP: 28026, CALLE AVENA
(11964782) Titulo: Danza Emoci�n, Precio: 0, Gratis: true, Direccion: CP: 28037, CALLE SAN ROM�N DEL VALLE
(11951330) Titulo: Danza Espor�dica, Precio: 0, Gratis: true, Direccion: CP: 28044, AVENIDA LAS AGUILAS
(11965793) Titulo: Danza: 'Alma flamenca'., Precio: 0, Gratis: true, Direccion: CP: 28039, CALLE ALMANSA
(11940483) Titulo: Danza: 'Ilusi�n'., Precio: 0, Gratis: true, Direccion: CP: 28039, CALLE ALMANSA
(11881562) Titulo: De Dehesa de la Villa a Casa de Campo, Precio: 0, Gratis: true, Direccion: CP: 28011, PARQUE CASA DE CAMPO (JUNTO AL EMBARCADERO DEL LAGO)
